MALAT1
MT-CO1
MT-CO2
TPT1
MT-ATP6
MT-ND3
MT-CO3
RPLP1
MT-ND4
RPS27
EEF1A1
JUND
RPL13
RPS29
MT-CYB
B2M
RPS12
MT-ND2
RPL41
RPS19
RPL10
RPL39
RPS27A
IL7R
RPL21
RPL34
RPS21
RPL37
RPL13A
RPL30
RPS15A
RPS18
RPS2
RPS28
CCL5
RPL32
RPS3A
RPS3
RPS15
FTH1
TMSB4X
RPLP2
RPL9
PTMA
RPS14
ACTB
RPL37A
RPL19
RPS13
RPL12
PTPRC
RPS23
RPS6
RPL28
RPL35A
FOS
RPL5
RPL3
RPL36
RPS26
EIF1
RPS16
DDX5
RPL38
RPS24
RPL17
RPL18A
MT-ND1
RPL29
SRSF7
SARAF
RPL26
RPL23A
RPL8
HSP90AB1
UBC
HLA-A
KLF6
HLA-C
PNRC1
TNFAIP3
RPS8
FAU
RPL36A
RPL18
RPS4X
RPS7
RPL11
RPL23
HLA-B
RPL7A
SRSF5
MBNL1
RPL15
BTF3
FTL
RPL14
RPL7
RPS11
TSC22D3
ZFP36L2
NPM1
ZNF331
PPP2R5C
TOMM7
DDX24
EZR
HMGB1
RPL24
ATP5F1E
RPS25
IDS
MT-ND4L
TRBC2
PABPC1
AKAP13
RPS9
RPL35
STK17B
RPS5
RPS20
EIF3K
HSP90AA1
HLA-E
SRRM1
ZFAS1
NACA
RBM39
S100A4
MYL12A
RPL27A
MT-ND5
LINC-PINT
RPL22
UBA52
ARHGDIB
VIM
SRGN
RPLP0
RACK1
COX4I1
CCNI
UQCR11
SFPQ
CFL1
RPSA
FYN
ANKRD12
TSPYL2
PRKAR1A
CNOT6L
AKAP9
RPL10A
RPS10
PNN
SELENOK
FOSB
EIF4A1
RORA
HSPA5
ACTG1
RPL31
TUBA1A
NAP1L1
FUS
RPL6
GZMA
TMSB10
RPS17
HSPA8
PFN1
PFDN5
SERF2
SON
EEF1D
GAS5
PRPF4B
UBE2D3
RANBP2
ATP5IF1
DNAJA1
TMA7
NOP53
JAK1
RPL36AL
SRRM2
RPL27
KLRD1
COX7C
RPL4
TTC3
HNRNPU
GAPDH
DUSP1
CD2
CALM1
ZEB2
JUNB
ATRX
ITM2B
MCL1
GNG2
KLRK1
ST13
LEPROTL1
DDX21
CIR1
CALM2
RALGAPA1
TPR
EVL
YWHAB
YWHAZ
RGCC
CDC42SE2
LCP1
CYCS
CST7
DDX27
EEF1G
CELF2
ZNF706
UQCRH
MYH9
BCLAF1
YPEL5
CDV3
TAF15
CUL3
PRPF38B
CD8B
TSTD1
PTPN22
AAK1
KAT6B
ATP5MG
EIF5B
IKZF3
MIF
ARGLU1
PTP4A2
UBB
MYADM
TAF7
TAF1D
PPP1R15A
G3BP2
ZNF148
RAB11FIP1
HNRNPDL
MYL12B
NUFIP2
ZFP36
NR4A2
PLEKHA2
HNRNPA2B1
CD48
ANKRD11
PRRC2C
RNF125
IL32
BZW1
ARHGAP9
SSU72
BUD31
SAFB2
PTGER4
RSBN1
NCL
CD69
EEF1B2
STK4
GNG5
SRP14
STK17A
GOLGB1
PTGES3
CYBA
SLC25A5
PRKACB
KTN1
GADD45GIP1
TRIM56
TMBIM6
TOMM20
CHMP3
NUCKS1
KMT2E
