TNFSF10
TNFRSF10A
TDGF1
LEFTY2
TNFRSF11B
CCL19
CCRL2
NCAM1
AGRN
NOTCH1
DLL1
CCR7
CCL21
CCL5
ACKR2
SELL
PODXL
CXCR3
CXCL11
TNFRSF10B
TNFRSF10C
EGFR
EREG
CCR9
CCL25
TNFRSF25
TNFSF12
CD44
TYROBP
CXCR5
CXCL13
ICOS
ICOSLG
RSPO3
LGR5
PI16
TNFRSF21
LEFTY1
TNFRSF13B
TNFSF13
TNFSF15
FASLG
TNFRSF6B
CXCR4
CXCL14
GPR75
WNT2
CER1
EGF
TGFA
PF4
CXCL10
SCARA5
FTL
FTH1
ADGRE5
THY1
SORL1
APP
FGFR4
FGF1
ITGAL
ICAM1
CD8A
CEACAM5
CSF1
CSF1R
CD55
CD22
PTPRC
FGF2
FGFR1
KLRG1
CDH1
KLRK1
HLA-E
CD34
PILRA
CD99
TIGIT
PVR
AREG
SELP
SELE
FCER2
CDH2
CD2
CD58
TNF
TNFRSF1A
CR2
TNFRSF1B
ANXA1
FPR1
KIT
KITLG
FGFR2
FGF17
FGFR3
MRC1
PTN
PTPRZ1
TNFRSF4
TNFSF4
FPR3
SAA1
FPR2
FAS
CD40LG
CD40
KLRC1
KLRC2
CCR1
CD27
CD70
CDH5
CTLA4
CD80
BTC
VEGFD
FLT4
KDR
FLT3LG
FLT3
LTB
LTBR
TNFRSF9
TNFSF9
CCL2
CCR2
CD86
HLA-C
KIR2DL1
KIR2DL3
HLA-F
KIR3DL1
KIR3DL2
XCL2
XCR1
CXCL12
LEP
LEPR
CCR3
CCR4
CCR5
JAG1
CCR6
CCL20
DLK1
TGFBR3
CXCL9
SIRPG
CD47
LAG3
FGL1
LILRA4
BST2
MCAM
CNTN1
LGALS3
MERTK
CLEC2D
KLRB1
CD6
ALCAM
SELPLG
KIR3DS1
CD96
NECTIN1
ACKR1
SFRP5
SFRP4
EPGN
SIGLEC15
HLA-G
LILRB2
SFRP1
LILRB1
KLRF1
CLEC2B
NECTIN2
FRZB
SEMA4D
SFRP2
CD52
SIGLEC10
HBEGF
NTS
SORT1
PDCD1
PDCD1LG2
LGR4
CRTAM
CADM1
CD48
CD244
CXCR6
CXCL16
ICAM3
CLEC4M
LGR6
CD209
ACKR4
NECTIN3
DLL4
DLL3
PODXL2
CD274
TNFRSF10D
ALK
JAG2
TNFSF13B
WIF1
JAML
CD320
SDC2
NTSR2
NTSR1
SFTPD
LPAR1
VSIR
LPAR2
LPAR3
COL3A1
ADGRG1
